compound,start_value,end_value,delta,normalize_delta
C00802,100,181,81,0.81
C00803,100,111,11,0.11
C00804,100,105,5,0.05
C00805,100,261,161,1.61
C00806,100,99,-1,0.01
C00807,100,100,0,0.0
C00808,100,105,5,0.05
C00809,100,106,6,0.06
C00810,100,66,-34,0.34
C00811,100,14,-86,0.86
C00812,100,115,15,0.15
C00813,100,88,-12,0.12
C00814,100,117,17,0.17
C00815,100,85,-15,0.15
C00817,100,38,-62,0.62
C00818,100,0,-100,1.0
C00819,100,0,-100,1.0
C00820,100,79,-21,0.21
C00822,100,39,-61,0.61
C00823,100,90,-10,0.1
C00824,100,100,0,0.0
C00825,100,94,-6,0.06
C00826,100,0,-100,1.0
C00827,100,0,-100,1.0
C00828,100,2,-98,0.98
C00829,100,100,0,0.0
C00830,100,166,66,0.66
C00831,100,105,5,0.05
C00832,100,146,46,0.46
C00835,100,180,80,0.8
C00836,100,101,1,0.01
C00837,100,100,0,0.0
C00840,100,100,0,0.0
C00841,100,100,0,0.0
C00842,100,3,-97,0.97
C00843,100,164,64,0.64
C00844,100,31,-69,0.69
C00845,100,97,-3,0.03
C00846,100,69,-31,0.31
C00847,100,107,7,0.07
C00848,100,109,9,0.09
C00849,100,92,-8,0.08
C01883,100,94,-6,0.06
C00852,100,63,-37,0.37
C00853,100,24,-76,0.76
C00854,100,133,33,0.33
C00855,100,87,-13,0.13
C00857,100,70,-30,0.3
C00858,100,205,105,1.05
C00859,100,160,60,0.6
C00860,100,101,1,0.01
C00861,100,140,40,0.4
C00862,100,162,62,0.62
C00864,100,70,-30,0.3
C00865,100,59,-41,0.41
C00869,100,115,15,0.15
C00870,100,153,53,0.53
C00871,100,100,0,0.0
C00872,100,46,-54,0.54
C00873,100,100,0,0.0
C00875,100,100,0,0.0
C00876,100,1,-99,0.99
C00877,100,482,382,3.82
C00878,100,80,-20,0.2
C00879,100,0,-100,1.0
C00880,100,95,-5,0.05
C00881,100,81,-19,0.19
C00882,100,80,-20,0.2
C00884,100,86,-14,0.14
C00885,100,54,-46,0.46
C00886,100,0,-100,1.0
C00887,100,189,89,0.89
C00888,100,158,58,0.58
C00889,100,100,0,0.0
C00891,100,63,-37,0.37
C00892,100,137,37,0.37
C00893,100,100,0,0.0
C00894,100,270,170,1.7
C00895,100,100,0,0.0
C00896,100,100,0,0.0
C00897,100,53,-47,0.47
C00898,100,0,-100,1.0
C00899,100,135,35,0.35
C00900,100,0,-100,1.0
C00902,100,124,24,0.24
C00903,100,39,-61,0.61
C00904,100,50,-50,0.5
C00905,100,200,100,1.0
C00906,100,91,-9,0.09
C00908,100,130,30,0.3
C00909,100,111,11,0.11
C00911,100,134,34,0.34
C00913,100,100,0,0.0
C00915,100,100,0,0.0
C00916,100,15,-85,0.85
C00917,100,100,0,0.0
C00918,100,83,-17,0.17
C00919,100,84,-16,0.16
C00920,100,150,50,0.5
C00921,100,161,61,0.61
C00922,100,125,25,0.25
C00923,100,68,-32,0.32
C00924,100,132,32,0.32
C00925,100,100,0,0.0
C00927,100,55,-45,0.45
C00928,100,100,0,0.0
C00930,100,100,0,0.0
C00931,100,53,-47,0.47
C00933,100,19,-81,0.81
C00934,100,98,-2,0.02
C00935,100,0,-100,1.0
C00936,100,119,19,0.19
C00937,100,134,34,0.34
C00938,100,100,0,0.0
C00939,100,100,0,0.0
C00940,100,218,118,1.18
C00941,100,101,1,0.01
C00942,100,85,-15,0.15
C00943,100,107,7,0.07
C00944,100,196,96,0.96
C00946,100,100,0,0.0
C00949,100,100,0,0.0
C00950,100,68,-32,0.32
C00951,100,70,-30,0.3
C00954,100,135,35,0.35
C00955,100,75,-25,0.25
C00956,100,117,17,0.17
C00957,100,77,-23,0.23
C00958,100,132,32,0.32
C00959,100,100,0,0.0
C00961,100,99,-1,0.01
C00962,100,100,0,0.0
C00963,100,80,-20,0.2
C00964,100,78,-22,0.22
C00965,100,174,74,0.74
C00966,100,76,-24,0.24
C00968,100,100,0,0.0
C00969,100,154,54,0.54
C00971,100,91,-9,0.09
C00973,100,132,32,0.32
C00974,100,119,19,0.19
C00975,100,73,-27,0.27
C00976,100,0,-100,1.0
C00977,100,87,-13,0.13
C00978,100,114,14,0.14
C00979,100,0,-100,1.0
C00980,100,83,-17,0.17
C00982,100,98,-2,0.02
C00984,100,134,34,0.34
C01582,100,117,17,0.17
C00985,100,100,0,0.0
